# CEOs of various companies
# 
# The start and end dates are of the form YYYY or YYYY-MM or YYYY-MM-DD
# depending on the information is available.
ticker,company, ceo, website, start_date, end_date
AAPL,, Tim Cook, https://en.wikipedia.org/wiki/Tim_Cook,,
AVGO,, Hock E. Tan, , 2016-02-01,
BA, Boeing, Dennis Muilenburg, https://en.wikipedia.org/wiki/Dennis_Muilenburg, 2015-07-01,
BK, The Bank of New York Mellon, Charles Scharf, https://en.wikipedia.org/wiki/Charles_Scharf, 2017-07, 2019-09-26
BK, The Bank of New York Mellon, Thomas P. Gibbons, https://www.bnymellon.com/us/en/who-we-are/leadership/gibbons.jsp, 2019-09-27
BLK,, Larry Fink, https://en.wikipedia.org/wiki/Laurence_D._Fink,,
FB,, Mark Zuckerberg, https://en.wikipedia.org/wiki/Mark_Zuckerberg,,
GE,, John L. Flannery, https://en.wikipedia.org/wiki/John_L._Flannery, 2017-08, 2018-10
GE,, Larry Culp, https://en.wikipedia.org/wiki/H._Lawrence_Culp_Jr., 2018-10-01,
GOOGL, Google, Larry Page, https://en.wikipedia.org/wiki/Larry_Page, 1998, 2001
GOOGL, Google, Larry Page, https://en.wikipedia.org/wiki/Larry_Page, 2011-04, 2015-07
GOOG, Alphabet, Sundar Pichai, https://en.wikipedia.org/wiki/Sundar_Pichai, 2015-10-24, 
INTC,, Brian Krzanich, https://en.wikipedia.org/wiki/Brian_Krzanich, 2013-05, 2018-06
LOW,, Marvin Ellison, https://en.wikipedia.org/wiki/Marvin_Ellison, 2018-07-02,
MRNA, Moderna Inc.,Stéphane Bancel,,
MSFT,, Satya Nadella, https://en.wikipedia.org/wiki/Satya_Nadella,,
NMR,, Koji Nagai, https://en.wikipedia.org/wiki/Koji_Nagai,,
private, WeWork, Adam Neumann. https://en.wikipedia.org/wiki/Adam_Neumann, 2010,,
PXD,, Scott D. Sheffield, https://en.wikipedia.org/wiki/Scott_D._Sheffield, 1997, 2016
PXD,, Scott D. Sheffield, https://en.wikipedia.org/wiki/Scott_D._Sheffield, 2019-02,
QCOM,, Steven Mollenkopf,,,
SBUX,, Kevin Johnson, https://en.wikipedia.org/wiki/Kevin_Johnson_(executive), 2017-04-03,
TMUS, T-Mobile, John Legere, https://en.wikipedia.org/wiki/John_Legere, 2012-09, 2020-04-30
TMUS, T-Mobile, Mike Sievert, , 2020-05-01, 
TSLA,, Elon Musk, https://en.wikipedia.org/wiki/Elon_Musk,,
WFC, Wells Fargo & Company, Charles Scharf, https://en.wikipedia.org/wiki/Charles_Scharf, 2019-10-21, 
